MID,IsEdible,CapShape,CapSurface,CapColor,HasBruises,Odor,Gill_IsAttached,GillSpacingIsCrowded,GillSizeBroad,GillColor,StalkShapeIsTapering,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilColor,RingNumber,RingType,SporePrintColor,Population,Habitat
1,1,3,2,9,0,0,0,0,0,7,0,99,4,1,9,9,9,1,2,11,6,7
2,1,3,2,9,0,0,0,0,0,7,0,99,4,1,9,9,9,1,2,11,5,7
3,1,3,2,9,0,0,0,0,0,11,0,99,4,1,9,9,9,1,2,11,6,7
4,1,3,2,7,0,0,0,0,0,9,0,99,4,1,9,9,9,1,2,11,6,7
5,1,3,2,7,0,0,0,0,0,9,0,99,4,1,9,9,9,1,2,11,5,7
6,1,3,2,7,0,0,0,0,0,13,0,99,4,1,9,9,9,1,2,11,6,7
7,1,3,2,7,0,0,0,0,0,11,0,99,4,1,9,9,9,1,2,11,5,7
8,1,3,2,5,0,0,0,0,0,9,0,99,4,1,9,9,9,1,2,11,5,7
9,1,3,2,5,0,0,0,0,0,13,0,99,4,1,9,9,9,1,2,11,6,7
10,1,3,2,5,0,0,0,0,0,13,0,99,4,1,9,9,9,1,2,11,5,7
11,1,3,2,5,0,0,0,0,0,7,0,99,4,1,9,9,9,1,2,11,5,7
12,1,3,2,5,0,0,0,0,0,11,0,99,4,1,9,9,9,1,2,11,6,7
13,1,3,2,5,0,0,0,0,0,11,0,99,4,1,9,9,9,1,2,11,5,7
14,1,4,2,9,0,0,0,0,0,9,0,99,4,1,9,9,9,1,2,11,5,7
15,1,4,2,9,0,0,0,0,0,13,0,99,4,1,9,9,9,1,2,11,5,7
16,1,4,2,9,0,0,0,0,0,11,0,99,4,1,9,9,9,1,2,11,6,7
17,1,4,2,9,0,0,0,0,0,11,0,99,4,1,9,9,9,1,2,11,5,7
18,1,4,2,7,0,0,0,0,0,9,0,99,4,1,9,9,9,1,2,11,6,7
19,1,4,2,7,0,0,0,0,0,13,0,99,4,1,9,9,9,1,2,11,6,7
20,1,4,2,7,0,0,0,0,0,11,0,99,4,1,9,9,9,1,2,11,5,7
21,1,4,2,5,0,0,0,0,0,9,0,99,4,1,9,9,9,1,2,11,6,7
22,1,4,2,5,0,0,0,0,0,9,0,99,4,1,9,9,9,1,2,11,5,7
23,1,4,2,5,0,0,0,0,0,13,0,99,4,1,9,9,9,1,2,11,6,7
24,1,4,2,5,0,0,0,0,0,7,0,99,4,1,9,9,9,1,2,11,6,7
25,1,3,4,13,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
26,1,3,4,13,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
27,1,3,4,13,1,0,0,0,1,9,0,99,4,4,2,2,9,2,1,9,2,6
28,1,3,4,13,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
29,1,3,4,10,1,0,0,0,1,9,0,99,4,4,2,2,9,2,1,9,2,6
30,1,3,4,10,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
31,1,3,4,10,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
32,1,3,4,2,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
33,1,3,4,2,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
34,1,3,4,2,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
35,1,3,4,1,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
36,1,3,4,1,1,0,0,0,1,9,0,99,4,4,2,2,9,2,1,9,2,6
37,1,3,4,1,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
38,1,3,4,1,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
39,1,3,4,1,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
40,1,3,4,1,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
41,1,3,2,13,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
42,1,3,2,13,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
43,1,3,2,13,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
44,1,3,2,13,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
45,1,3,2,10,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
46,1,3,2,10,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
47,1,3,2,2,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
48,1,3,2,2,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
49,1,3,2,2,1,0,0,0,1,9,0,99,4,4,2,2,9,2,1,9,2,6
50,1,3,2,2,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
51,1,3,2,2,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
52,1,3,2,1,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
53,1,3,2,1,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
54,1,4,4,13,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
55,1,4,4,13,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
56,1,4,4,13,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
57,1,4,4,13,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
58,1,4,4,13,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
59,1,4,4,10,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
60,1,4,4,10,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
61,1,4,4,10,1,0,0,0,1,9,0,99,4,4,2,2,9,2,1,9,2,6
62,1,4,4,10,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
63,1,4,4,10,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
64,1,4,4,10,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
65,1,4,4,2,1,0,0,0,1,9,0,99,4,4,9,2,9,2,1,9,2,6
66,1,4,4,2,1,0,0,0,1,9,0,99,4,4,2,9,9,2,1,9,2,6
67,1,4,4,2,1,0,0,0,1,9,0,99,4,4,2,2,9,2,1,9,2,6
68,1,4,4,2,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
69,1,4,4,2,1,0,0,0,1,2,0,99,4,4,2,9,9,2,1,9,2,6
70,1,4,4,1,1,0,0,0,1,9,0,99,4,4,9,9,9,2,1,9,2,6
71,1,4,4,1,1,0,0,0,1,9,0,99,4,4,2,2,9,2,1,9,2,6
72,1,4,4,1,1,0,0,0,1,2,0,99,4,4,9,9,9,2,1,9,2,6
73,1,4,4,1,1,0,0,0,1,2,0,99,4,4,9,2,9,2,1,9,2,6
74,1,4,4,1,1,0,0,0,1,2,0,99,4,4,2,2,9,2,1,9,2,6
