MUID,Edible,CapShape,CapSurface,CapColor,Bruises,Odor,GillAttached,GillSpacingCrowded,GillSizeBroad,GillColor,StalkShapeEnlarging,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilColor,RingNumber,RingType,SporePrintColor,Population,Habitat
1,Yes,Convex,Smooth,White,Yes,Almond,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
2,Yes,Convex,Smooth,White,Yes,Almond,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
3,Yes,Convex,Smooth,White,Yes,Anise,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
4,Yes,Convex,Smooth,White,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
5,Yes,Convex,Smooth,White,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
6,Yes,Convex,Smooth,White,Yes,Anise,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
7,Yes,Convex,Smooth,White,Yes,Anise,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
8,Yes,Convex,Smooth,Yellow,Yes,Almond,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
9,Yes,Convex,Smooth,Yellow,Yes,Almond,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
10,Yes,Convex,Smooth,Yellow,Yes,Anise,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
11,Yes,Convex,Smooth,Yellow,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
12,Yes,Convex,Smooth,Yellow,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
13,Yes,Convex,Smooth,Yellow,Yes,Anise,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
14,Yes,Convex,Fibrous,White,Yes,Almond,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
15,Yes,Convex,Fibrous,White,Yes,Almond,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
16,Yes,Convex,Fibrous,White,Yes,Almond,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
17,Yes,Convex,Fibrous,White,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
18,Yes,Convex,Fibrous,White,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
19,Yes,Convex,Fibrous,White,Yes,Anise,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
20,Yes,Convex,Fibrous,White,Yes,Anise,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
21,Yes,Convex,Fibrous,Yellow,Yes,Almond,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
22,Yes,Convex,Fibrous,Yellow,Yes,Almond,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
23,Yes,Convex,Fibrous,Yellow,Yes,Anise,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
24,Yes,Convex,Fibrous,Yellow,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
25,Yes,Flat,Smooth,White,Yes,Almond,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
26,Yes,Flat,Smooth,White,Yes,Anise,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
27,Yes,Flat,Smooth,White,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
28,Yes,Flat,Smooth,Yellow,Yes,Almond,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
29,Yes,Flat,Smooth,Yellow,Yes,Almond,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
30,Yes,Flat,Smooth,Yellow,Yes,Anise,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
31,Yes,Flat,Smooth,Yellow,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
32,Yes,Flat,Smooth,Yellow,Yes,Anise,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
33,Yes,Flat,Smooth,Yellow,Yes,Anise,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
34,Yes,Flat,Fibrous,White,Yes,Almond,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
35,Yes,Flat,Fibrous,White,Yes,Almond,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
36,Yes,Flat,Fibrous,White,Yes,Anise,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
37,Yes,Flat,Fibrous,White,Yes,Anise,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
38,Yes,Flat,Fibrous,White,Yes,Anise,No,Yes,No,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
39,Yes,Flat,Fibrous,White,Yes,Anise,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
40,Yes,Flat,Fibrous,Yellow,Yes,Almond,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
41,Yes,Flat,Fibrous,Yellow,Yes,Almond,No,Yes,No,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
42,Yes,Flat,Fibrous,Yellow,Yes,Anise,No,Yes,No,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
